,Energy_1,Energy_2,Trip,Average_Speeds,Style,Motor_Way,City,Country_Road,Tire_Type,Parking_Heat,Consumption_1,Consumption_2
2123,"['3,98']",3.86,"['20,0']",46.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"19,90",19.3
2124,"['2,22']",2.22,"['19,0']",50.0,['Fast'],1.0,1.0,1.0,['Winter tires'],0.0,"11,68",11.7
2125,"['3,74']",3.74,"['20,0']",53.0,['Fast'],1.0,1.0,1.0,['Winter tires'],0.0,"18,70",18.7
2126,"['4,12']",4.06,"['20,0']",57.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"20,60",20.6
2127,"['2,01']",2.01,"['19,0']",50.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"10,58",10.6
2128,"['1,82']",1.82,"['20,0']",51.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"9,10",9.1
2129,"['4,08']",4.08,"['20,0']",50.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"20,40",20.4
2130,"['2,24']",2.24,"['20,0']",34.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"11,20",11.2
2131,"['3,70']",3.7,"['20,0']",43.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,50",18.5
2132,"['3,60']",3.6,"['36,0']",35.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],0.0,"10,00",10.0
2133,"['3,48']",3.48,"['20,0']",51.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],0.0,"17,40",17.4
2134,"['2,09']",2.09,"['22,0']",35.0,['Normal'],0.0,1.0,1.0,['Winter tires'],1.0,"9,50",9.5
2135,"['3,96']",3.96,"['20,0']",38.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"19,80",19.8
2136,"['2,26']",2.26,"['20,0']",41.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"11,30",11.3
2137,"['3,90']",3.9,"['20,0']",41.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"19,50",19.5
2138,"['0,87']",0.87,"['6,0']",22.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],1.0,"14,50",14.6
2139,[],,[],,[],,,,[],,,
2140,"['5,29']",5.29,"['36,0']",25.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"14,69",14.7
2141,"['0,30']",0.3,"['2,0']",20.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"15,00",15.4
2142,"['1,09']",1.09,"['8,0']",27.0,['Normal'],0.0,1.0,1.0,['Winter tires'],1.0,"13,63",13.7
2143,"['3,66']",3.66,"['20,0']",46.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"18,30",18.3
2144,"['1,84']",1.84,"['20,0']",37.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"9,20",9.2
2145,"['3,64']",3.64,"['20,0']",42.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"18,20",18.2
2146,"['1,74']",1.74,"['20,0']",40.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"8,70",8.7
2147,"['3,78']",3.78,"['20,0']",40.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"18,90",18.9
2148,"['4,20']",4.2,"['40,0']",34.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"10,50",10.4
2149,"['0,31']",0.31,"['2,0']",22.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"15,50",15.9
2150,"['3,78']",3.78,"['20,0']",45.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"18,90",18.9
2151,"['1,78']",1.78,"['20,0']",42.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"8,90",8.9
2152,"['4,04']",4.04,"['22,0']",35.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"18,36",18.4
2153,"['0,38']",0.37,"['2,0']",16.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"19,00",18.8
2154,"['0,21']",0.21,"['2,0']",17.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"10,50",10.9
2155,"['1,07']",1.07,"['8,0']",28.0,['Fast'],0.0,1.0,0.0,['Winter tires'],0.0,"13,38",13.4
2156,"['3,40']",3.4,"['34,0']",28.0,['Fast'],0.0,1.0,1.0,['Winter tires'],1.0,"10,00",10.0
2157,"['1,07']",1.07,"['8,0']",30.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],1.0,"13,38",13.4
2158,"['0,24']",0.24,"['2,0']",28.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"12,00",12.12
2159,"['4,48']",4.48,"['20,0']",51.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"22,40",22.4
